text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
Android 12 will let users play games as they're downloading.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Android 12,will let,users play games
There's also a new feature that will let you use apps while they're downloading.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,a new feature,will let,you use apps
Click Next and Windows 10 will install.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Windows 10,will install,Next
"If your Kindle is connected to Wi-Fi, the update will install automatically, but you can manually download it here.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,your Kindle,"is connected, will install, can download","to Wi-Fi, the update, it"
"The first two are available right now, while WH is shipping at some point in August.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,"The first two, WH","are available, is shipping",
This unit is shipping to an existing customer for a new application that is expected to outgrow the WFE market over the next several years.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,This unit,is shipping,
Hyperion 8 is shipping in 2024 and Hyperion 9 will ship in 2026.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,"Hyperion 8, Hyperion 9","is shipping, will ship",
"The company has confirmed that one Arc Alchemist laptop is shipping in South Korea, but even though it's been a while, these laptops haven't become widespread.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The company,has confirmed,that one Arc Alchemist laptop is shipping in South Korea
"Under the hood, Ubuntu 22.10 is shipping with the new 5.19 Linux kernel.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Ubuntu 22.10,is shipping,the new 5.19 Linux kernel
"An hour and a quarter later, the pigeons had reached their destination in Skegness 120km away, while only 24% of a 300MB file had uploaded.",intransitive,intransitive,anticausative,causative,inanimate,animate,patient,agent,the pigeons,had reached,their destination in Skegness 120km away
"It's centuries into the future, self-aware technology has formed a "" singularity "" -- a floating superbrain cloud in the upper atmosphere -- and his parents have already uploaded to it, leaving their bodies behind.",intransitive,transitive,anticausative,causative,animate,inanimate,patient,agent,self-aware technology,has formed,"a "" singularity """
"It was revealed that she'd actually uploaded -- potentially meaning that she had ended her own life in order to come join Nathan, who had just broken up with her a few days before.",intransitive,transitive,anticausative,causative,animate,animate,patient,agent,she,uploaded,potentially meaning that she had ended her own life in order to come join Nathan
