text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
Android 12 will let users play games as they're downloading.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,Android 12,downloading,
There's also a new feature that will let you use apps while they're downloading.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,a new feature,downloading,
Click Next and Windows 10 will install.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,Windows 10,install,
"If your Kindle is connected to Wi-Fi, the update will install automatically, but you can manually download it here.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,the update,install,
"The first two are available right now, while WH is shipping at some point in August.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,WH,shipping,
This unit is shipping to an existing customer for a new application that is expected to outgrow the WFE market over the next several years.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,This unit,is shipping,
Hyperion 8 is shipping in 2024 and Hyperion 9 will ship in 2026.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,Hyperion 8,is shipping,
"The company has confirmed that one Arc Alchemist laptop is shipping in South Korea, but even though it's been a while, these laptops haven't become widespread.",intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,one Arc Alchemist laptop,is shipping,
"Under the hood, Ubuntu 22.10 is shipping with the new 5.19 Linux kernel.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Ubuntu 22.10,is shipping,the new 5.19 Linux kernel
"An hour and a quarter later, the pigeons had reached their destination in Skegness 120km away, while only 24% of a 300MB file had uploaded.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,24% of a 300MB file,uploaded,
"It's centuries into the future, self-aware technology has formed a "" singularity "" -- a floating superbrain cloud in the upper atmosphere -- and his parents have already uploaded to it, leaving their bodies behind.",intransitive,transitive,anticausative,causative,animate,animate,patient,agent,his parents,uploaded,to it
"It was revealed that she'd actually uploaded -- potentially meaning that she had ended her own life in order to come join Nathan, who had just broken up with her a few days before.",intransitive,intransitive,anticausative,causative,animate,animate,patient,agent,she,uploaded,
"By providing easy access to the vast archive (130,000 photos have already uploaded just to break the electronic ground) Holocaust deniers will be easily be exposed as flat-earthers and disturbed conspiracy theorists.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,"130,000 photos",uploaded,
It appears that only new photos will upload at this point.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,new photos,upload,
Your activities from HR2VP will upload to Strava in an instant.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Your activities from HR2VP,upload,to Strava
Simply drag the picture onto the email from your files and it will upload and appear at the top.,intransitive,intransitive,anticausative,causative,inanimate,inanimate,patient,agent,it,upload,
