text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
Android 12 will let users play games as they're downloading.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,agent,Android 12,downloading,games
There's also a new feature that will let you use apps while they're downloading.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,apps,downloading,None
Click Next and Windows 10 will install.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Windows 10,install,Next
"If your Kindle is connected to Wi-Fi, the update will install automatically, but you can manually download it here.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,update,install,it
"The first two are available right now, while WH is shipping at some point in August.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,WH,shipping,
This unit is shipping to an existing customer for a new application that is expected to outgrow the WFE market over the next several years.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,This unit,shipping,
Hyperion 8 is shipping in 2024 and Hyperion 9 will ship in 2026.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,agent,Hyperion 8,shipping,
"The company has confirmed that one Arc Alchemist laptop is shipping in South Korea, but even though it's been a while, these laptops haven't become widespread.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,patient,one Arc Alchemist laptop,shipping,in South Korea
"Under the hood, Ubuntu 22.10 is shipping with the new 5.19 Linux kernel.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,agent,Ubuntu 22.10,shipping,the new 5.19 Linux kernel
"An hour and a quarter later, the pigeons had reached their destination in Skegness 120km away, while only 24% of a 300MB file had uploaded.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,24% of a 300MB file,uploaded,
"It's centuries into the future, self-aware technology has formed a "" singularity "" -- a floating superbrain cloud in the upper atmosphere -- and his parents have already uploaded to it, leaving their bodies behind.",intransitive,transitive,anticausative,causative,animate,animate,patient,agent,parents,uploaded,to it
"It was revealed that she'd actually uploaded -- potentially meaning that she had ended her own life in order to come join Nathan, who had just broken up with her a few days before.",intransitive,transitive,anticausative,anticausative,animate,animate,patient,agent,she,uploaded,"potentially meaning that she had ended her own life in order to come join Nathan, who had just broken up with her a few days before"
"By providing easy access to the vast archive (130,000 photos have already uploaded just to break the electronic ground) Holocaust deniers will be easily be exposed as flat-earthers and disturbed conspiracy theorists.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,access,uploaded,photos
It appears that only new photos will upload at this point.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,new photos,upload,
Your activities from HR2VP will upload to Strava in an instant.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,Your activities from HR2VP,upload,to Strava
Simply drag the picture onto the email from your files and it will upload and appear at the top.,intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,it,upload,the picture
"When you've selected the image you want, it will upload to the site and appear below the reply/text box that you are creating and give you 2 choices: ",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,it,upload,the image
"If you want to spend your Saturday watching the entire run, the VODs will upload later to GDQ's YouTube channel, or you can jump to the 12:51:00 mark in this Twitch archive.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,VODs,upload,later to GDQ's YouTube channel
"YouTube's Content ID checks for copyrighted material as it's uploading, and analyzes the video's content, description, and metadata for "" Ad Suitability "" issues.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,YouTube's Content ID,uploading,"the video's content, description, and metadata"
"The Lightning is shipping to customers now with a starting price of $39,974 before any options and fees.",intransitive,transitive,anticausative,causative,inanimate,inanimate,patient,agent,The Lightning,shipping,to customers
OnePlus' budget phone is shipping with Android 11.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,OnePlus' budget phone,shipping,with Android 11
Summer Is Tomorrow is shipping in from Dubai after finishing second in the Grade II UAE Derby.,intransitive,intransitive,anticausative,anticausative,animate,inanimate,patient,patient,Summer Is Tomorrow,shipping,
"The company is also rolling out hot-updates, so you can keep using an app even while an update for the very same app is downloading and installing in the background.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,an update for the very same app,downloading,
